Pid,Date,Index,Market Cap,Income,Sales,Book/sh,Cash/sh,Dividend,Dividend %,Employees,Optionable,Shortable,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,EPS (ttm),EPS next Y,EPS next Q,EPS this Y,EPS next 5Y,EPS past 5Y,Sales past 5Y,Sales Q/Q,EPS Q/Q,Earnings,Insider Own,Insider Trans,Inst Own,Inst Trans,ROA,ROE,ROI,Gross Margin,Oper. Margin,Profit Margin,Payout,Shs Outstand,Shs Float,Short Float / Ratio,Short Interest,Target Price,52W Range,52W High,52W Low,RSI (14),Rel Volume,Avg Volume,Perf Week,Perf Month,Perf Quarter,Perf Half Y,Perf Year,Perf YTD,Beta,ATR,Volatility,Prev Close,Price
ATER,20230817,-,23.76M,-179.30M,214.40M,0.61,0.46,-,-,178,Yes,Yes,-,-,-,0.11,0.62,0.82,-,1.00,1.90,0.36,0.00,-2.67,50.60%,-0.13,55.80%,-,-17.20%,43.40%,-39.50%,-75.70%,Aug 08 AMC,3.80%,-11.52%,26.20%,78.21%,-149.30%,-241.80%,-141.00%,47.10%,-90.10%,-92.30%,-,77.62M,68.00M,8.59% / 4.17,5.84M,1.42,0.33 - 3.29,-88.54%,14.27%,38.99,0.38,1.40M,11.57%,-41.11%,-32.95%,-72.47%,-88.64%,-51.05%,1.90,0.06,17.13% 13.25%,0.37,0.38
ATEX,20230817,RUT,628.61M,-5.20M,2.20M,9.56,1.53,-,-,82,Yes,Yes,-,-,-,285.73,3.48,21.68,-,1.30,1.30,0.00,0.00,-0.27,-14.40%,-0.62,58.10%,-,12.60%,-21.30%,100.00%,84.20%,Aug 02 BMO,2.10%,-10.92%,83.90%,4.94%,-2.00%,-3.10%,-9.90%,-,-,-,-,18.95M,18.70M,5.64% / 5.78,1.06M,69.00,27.20 - 47.50,-29.98%,22.28%,64.66,0.99,182.56K,-0.78%,14.77%,9.59%,1.62%,-29.93%,3.39%,0.52,1.15,2.50% 3.99%,33.29,33.26
ATHA,20230817,-,107.24M,-102.50M,-,5.57,4.54,-,-,63,Yes,Yes,-,-,-,-,0.47,0.58,-,9.60,9.60,0.00,0.00,-2.71,2.90%,-0.80,-70.60%,-,-,-,-,-31.40%,Aug 10 AMC,1.10%,32.34%,64.50%,0.79%,-36.20%,-38.70%,-,-,-,-,-,37.92M,37.17M,3.19% / 4.40,1.19M,8.20,2.22 - 4.41,-40.59%,18.02%,37.34,0.73,269.12K,-13.53%,-17.09%,-5.07%,-21.08%,-33.84%,-17.35%,2.74,0.15,5.11% 5.32%,2.65,2.62
ATHM,20230817,-,3.99B,271.60M,984.30M,27.43,24.53,0.58,1.91%,5500,Yes,Yes,13.83,11.93,2.76,4.06,1.10,1.24,9.20,5.70,5.70,0.00,0.00,2.19,5.00%,0.61,-15.90%,5.01%,-3.10%,2.20%,5.80%,17.80%,Jul 27 BMO,-,-,51.50%,-3.69%,6.60%,8.20%,4.30%,80.70%,14.50%,27.60%,0.00%,123.13M,66.96M,2.29% / 3.85,1.53M,39.58,23.66 - 38.91,-22.10%,28.11%,49.37,0.94,398.26K,0.33%,3.59%,-5.78%,-16.91%,-14.52%,-0.95%,0.25,1.21,3.33% 3.97%,30.07,30.31
ATIF,20230817,-,14.46M,-,3.18M,0.50,0.08,-,-,11,No,Yes,-,-,-,4.55,3.00,18.07,-,-,2.50,0.00,0.00,-0.07,-,-,-49.70%,-,-41.80%,-14.40%,-80.00%,84.90%,-,55.25%,0.00%,-,-63.36%,-,-,-24.90%,-,-,-,-,9.63M,4.31M,1.29% / 20.46,0.06M,-,1.23 - 2.87,-47.74%,21.95%,46.52,0.15,2.71K,-6.25%,-0.03%,-9.18%,-39.76%,-15.73%,-33.04%,-0.63,0.06,0.42% 2.12%,1.50,1.50
ATKR,20230817,RUT,5.29B,757.90M,3.68B,36.77,8.47,-,-,5000,Yes,Yes,7.39,8.53,-,1.44,3.83,16.65,8.26,1.90,2.80,0.54,0.54,19.08,-13.05%,4.11,66.60%,-2.51%,74.00%,21.10%,-13.40%,-10.70%,Aug 08 BMO,0.60%,-8.05%,101.90%,1.16%,26.70%,54.00%,46.90%,39.50%,25.20%,19.30%,0.00%,38.13M,37.48M,10.92% / 10.25,4.09M,178.00,70.50 - 164.76,-14.42%,100.00%,37.73,0.99,399.45K,-4.26%,-11.73%,17.87%,-4.67%,54.39%,24.32%,2.20,4.95,3.01% 3.22%,144.01,141.00
ATLC,20230817,RUT,506.81M,91.70M,455.90M,23.93,25.93,-,-,355,Yes,Yes,6.86,5.79,0.34,1.11,1.41,1.30,1.49,-,-,5.08,5.08,4.92,41.60%,1.03,-22.90%,20.00%,30.20%,29.50%,-11.20%,-44.80%,Aug 09 BMO,3.60%,-0.78%,15.10%,-5.85%,4.80%,34.80%,6.30%,59.30%,32.80%,24.20%,0.00%,14.47M,4.85M,9.59% / 24.04,0.46M,49.33,21.65 - 43.70,-22.84%,55.75%,30.94,1.25,19.33K,-9.28%,-20.79%,16.96%,-3.96%,-6.15%,28.70%,1.73,1.56,3.89% 3.48%,34.05,33.72
ATNF,20230817,-,3.37M,-45.10M,-,1.91,0.51,-,-,5,No,No,-,-,-,-,0.34,1.30,-,0.80,0.80,0.11,0.00,-20.26,-,-,-57.20%,-,-,-,-,-238.40%,-,0.70%,265.75%,15.30%,-,-147.40%,-206.30%,-,-,-,-,-,5.32M,4.92M,0.40% / 0.03,0.02M,80.00,0.62 - 22.40,-97.06%,5.79%,27.37,0.18,595.56K,-6.37%,-38.22%,-32.75%,-78.14%,-96.95%,-80.59%,-,0.10,10.80% 12.90%,0.64,0.66
ATOM,20230817,RUT,174.75M,-19.00M,0.01M,0.94,0.86,-,-,21,Yes,Yes,-,-,-,24964.57,6.76,7.34,-,8.20,8.20,0.16,0.10,-0.80,16.90%,-0.16,-7.80%,20.00%,6.90%,28.30%,-,-6.90%,Aug 02 AMC,1.90%,-8.52%,32.10%,1.09%,-71.10%,-92.00%,-71.80%,-,-,-,-,24.68M,24.57M,20.78% / 24.67,5.11M,17.00,5.03 - 14.68,-56.74%,26.24%,28.99,0.63,206.95K,-11.68%,-26.84%,-27.43%,-16.45%,-56.54%,2.09%,1.60,0.49,5.46% 6.30%,6.52,6.35
ATOS,20230817,-,111.73M,-28.50M,-,0.89,0.82,-,-,9,Yes,Yes,-,-,-,-,0.99,1.08,-,37.70,37.70,0.00,0.00,-0.23,0.00%,-0.06,-20.80%,-,54.50%,-,-,-31.30%,Aug 14 BMO,0.08%,0.00%,21.50%,-13.92%,-22.70%,-23.60%,-,-,-,-,-,126.62M,126.52M,6.71% / 8.60,8.49M,5.25,0.50 - 1.39,-36.52%,76.48%,33.65,0.35,988.19K,-14.33%,-17.53%,24.28%,15.35%,-19.05%,66.96%,1.29,0.08,8.56% 7.06%,0.89,0.88
ATRA,20230817,RUT,163.52M,-304.50M,6.90M,0.07,1.50,-,-,317,Yes,Yes,-,-,-,23.70,22.86,1.06,-,2.20,2.30,0.12,0.00,-2.94,26.90%,-0.65,38.40%,-,11.00%,-,-98.10%,-473.30%,Aug 08 AMC,1.50%,-6.77%,107.64%,-0.23%,-94.20%,-315.50%,-214.10%,54.70%,-,-,-,105.09M,95.44M,13.57% / 7.17,12.95M,16.27,1.45 - 5.64,-71.63%,10.34%,38.01,1.05,1.81M,-26.61%,-24.53%,-22.33%,-64.68%,-67.61%,-51.22%,1.03,0.22,9.65% 10.79%,1.69,1.60
ATRC,20230817,RUT,2.25B,-28.00M,365.70M,9.99,2.71,-,-,1050,Yes,Yes,-,-,-,6.16,4.80,17.73,-,2.60,3.30,0.12,0.12,-0.61,5.40%,-0.32,-193.20%,20.00%,-5.00%,13.60%,19.40%,65.90%,Jul 25 AMC,1.60%,-1.87%,99.30%,-1.51%,-4.80%,-6.10%,-8.10%,74.80%,-6.80%,-7.70%,-,46.27M,46.12M,1.73% / 2.77,0.80M,67.80,32.51 - 59.61,-19.54%,47.52%,33.04,1.61,287.66K,-6.47%,-10.19%,-1.36%,13.11%,-8.84%,8.07%,1.36,1.73,3.33% 3.36%,49.65,47.96
ATUS,20230817,-,1.48B,-4.00M,9.38B,-0.83,0.48,-,-,11000,Yes,Yes,-,7.87,-,0.16,-,6.77,-,0.20,0.20,-,-,-0.01,6.43%,0.06,-80.00%,6.40%,18.70%,0.70%,-5.60%,-26.50%,Aug 02 AMC,0.70%,0.00%,59.80%,2.99%,0.00%,1.00%,5.80%,67.00%,17.90%,0.00%,0.00%,454.73M,392.40M,6.89% / 5.86,27.02M,4.40,2.01 - 11.28,-71.10%,62.19%,48.98,0.36,4.61M,-4.68%,0.93%,15.60%,-32.22%,-71.70%,-29.13%,1.40,0.23,4.03% 6.91%,3.27,3.26
ATXI,20230817,-,7.45M,-8.20M,-,-0.26,1.02,-,-,2,No,Yes,-,-,-,-,-,0.91,-,0.80,0.80,-,-,-2.09,-,-0.36,50.60%,-,43.30%,-,-,33.90%,Aug 10 AMC,18.50%,0.00%,1.60%,31.85%,-84.20%,-471.70%,-,-,-,-,-,7.91M,6.46M,0.92% / 0.88,0.06M,32.00,0.87 - 16.65,-94.42%,6.33%,32.00,0.68,67.87K,-13.14%,-20.56%,-13.94%,-25.04%,-79.01%,-19.87%,-0.41,0.07,7.94% 7.02%,0.95,0.93
ATXS,20230817,RUT,222.44M,-49.00M,-,3.75,7.27,-,-,42,Yes,Yes,-,-,-,-,2.13,1.10,-,31.00,31.00,0.00,0.00,-2.43,-9.80%,-0.52,85.60%,-,45.80%,-,-,48.10%,Aug 07 AMC,0.95%,0.00%,63.20%,29.86%,-25.30%,-54.10%,-,-,-,-,-,28.02M,27.77M,3.69% / 3.70,1.03M,24.43,6.90 - 16.28,-51.04%,15.51%,36.52,0.29,277.30K,-5.79%,-15.30%,-35.52%,-41.22%,6.13%,-46.47%,0.88,0.53,4.94% 6.09%,8.10,7.97
AUDC,20230817,-,335.98M,13.80M,259.60M,5.87,1.43,0.36,3.36%,966,Yes,Yes,25.00,11.28,5.32,1.29,1.82,7.48,88.42,1.10,1.60,0.00,0.00,0.43,48.75%,0.18,-12.20%,4.70%,47.50%,11.90%,-12.30%,-85.00%,Aug 01 BMO,40.50%,0.00%,47.30%,3.48%,4.30%,7.40%,13.50%,63.50%,6.50%,5.30%,82.70%,31.90M,24.71M,0.67% / 0.82,0.17M,12.60,8.05 - 23.91,-55.25%,32.92%,53.09,0.22,202.77K,-4.04%,3.38%,29.54%,-39.89%,-52.80%,-40.19%,0.55,0.39,2.49% 3.64%,10.63,10.70
AULT,20230817,-,2.24M,-202.30M,132.70M,140.15,100.53,-,-,615,No,Yes,-,-,-,0.02,0.01,0.02,-,1.60,1.80,0.80,0.62,-190.63,-,-,-68.60%,-,103.71%,67.50%,-4.90%,56.60%,-,0.50%,-,7.60%,-,-31.70%,-71.50%,-41.80%,26.90%,-,-,-,1.39M,1.20M,14.82% / 0.22,0.18M,-,1.66 - 71.31,-97.62%,2.41%,24.97,0.24,808.00K,-22.37%,-50.97%,-87.09%,-94.10%,-97.57%,-93.38%,3.76,0.38,12.43% 11.14%,1.72,1.70
AUR,20230817,RUT,4.30B,-906.00M,5.30M,1.23,0.58,-,-,1700,Yes,Yes,-,-,-,811.01,2.57,5.48,-,9.40,9.40,0.00,0.00,-0.78,1.50%,-0.16,-124.10%,-,-,-,-,81.90%,Aug 02 AMC,0.20%,-72.02%,40.60%,-5.61%,-46.50%,-52.60%,-103.80%,-,-,-,-,1.18B,406.09M,10.84% / 5.58,44.03M,5.32,1.10 - 3.79,-16.62%,187.27%,51.28,0.94,7.88M,0.00%,9.72%,114.97%,75.56%,1.61%,161.16%,2.44,0.28,9.26% 8.80%,3.47,3.16
AURA,20230817,RUT,379.10M,-63.40M,-,4.77,4.58,-,-,70,Yes,Yes,-,-,-,-,2.10,2.19,-,22.10,22.10,0.00,0.00,-1.98,-18.40%,-0.52,-24.20%,-,-,-,-,-5.20%,Aug 09 BMO,0.40%,0.00%,55.40%,2.92%,-33.20%,-37.90%,-,-,-,-,-,37.78M,34.67M,8.07% / 36.18,2.80M,27.40,8.13 - 24.83,-59.73%,23.00%,29.92,0.64,77.36K,-6.89%,-14.46%,-12.43%,-10.31%,-46.18%,-4.76%,0.25,0.62,7.05% 5.73%,9.99,10.00
AURC,20230817,-,270.11M,7.60M,-,0.35,0.12,-,-,-,No,Yes,123.36,-,-,-,76.49,225.09,103.89,0.10,0.10,0.13,0.00,0.22,-,-,273.40%,-,-,-,-,-279.70%,-,19.60%,0.00%,87.90%,24.22%,3.20%,3.70%,-,-,-,-,0.00%,9.00M,0.41M,11.37% / 0.08,0.05M,-,9.85 - 62.91,-57.45%,171.78%,48.63,0.21,573.57K,-33.42%,156.17%,163.48%,168.91%,171.50%,165.31%,1.44,9.23,27.52% 43.89%,32.15,26.77
AUTL,20230817,-,538.37M,-155.10M,7.50M,1.54,1.87,-,-,399,Yes,Yes,-,-,-,71.78,1.91,1.57,-,9.90,9.90,0.00,0.00,-1.21,3.30%,-0.25,20.50%,-,-2.00%,35.20%,550.00%,43.80%,Aug 03 BMO,8.45%,0.00%,30.20%,-2.65%,-39.00%,-63.30%,-48.10%,-,-,-,-,173.83M,159.06M,1.17% / 2.93,1.87M,7.68,1.60 - 3.77,-22.02%,83.75%,54.33,1.03,637.90K,1.03%,8.89%,-0.34%,53.13%,-19.45%,54.74%,1.51,0.19,6.32% 6.66%,2.64,2.94
AUUD,20230817,-,7.36M,-7.30M,-,0.16,0.01,-,-,15,No,Yes,-,-,-,-,2.30,36.82,-,0.10,0.10,0.95,0.00,-0.58,-,-,57.50%,-,-18.00%,-,-,-20.20%,-,13.90%,0.00%,8.60%,1.53%,-130.30%,-173.20%,-,-,-,-,-,19.95M,17.16M,1.88% / 0.10,0.32M,4.00,0.36 - 1.75,-79.01%,2.03%,40.11,0.02,3.32M,-8.17%,-4.50%,-24.19%,-67.21%,-67.21%,-61.74%,0.75,0.03,7.63% 7.85%,0.39,0.37
AUVI,20230817,-,5.82M,-20.90M,27.40M,5.42,0.26,-,-,115,No,Yes,-,-,-,0.21,0.14,2.77,-,0.30,0.50,0.54,0.30,-7.71,50.50%,-0.82,-63.90%,-,-,-,214.70%,-81.80%,May 22 AMC,19.48%,0.00%,2.50%,-29.96%,-47.50%,-92.30%,-81.10%,17.50%,-67.10%,-76.20%,-,8.98M,7.23M,0.80% / 0.08,0.06M,-,0.65 - 9.80,-92.53%,12.68%,40.37,0.14,741.78K,5.98%,-20.80%,-67.08%,-87.69%,-91.68%,-83.81%,-1.28,0.10,14.47% 10.02%,0.75,0.73
AVAH,20230817,RUT,303.37M,-719.40M,1.80B,-0.02,0.15,-,-,3700,Yes,Yes,-,-,-,0.17,-,10.83,-,0.80,0.80,-,-,-3.88,45.50%,-0.02,-420.10%,6.23%,-,-,6.50%,-,Aug 10 BMO,0.40%,2.37%,92.30%,-0.02%,-,-,-44.70%,30.70%,-,-,-,189.07M,173.78M,1.13% / 11.65,1.97M,1.75,0.67 - 2.17,-23.96%,147.60%,46.40,0.53,169.08K,-9.34%,-6.25%,35.25%,32.00%,-21.80%,111.54%,1.14,0.16,8.35% 9.26%,1.70,1.65
AVAV,20230817,RUT,2.46B,-176.20M,540.50M,21.64,5.00,-,-,1259,Yes,Yes,-,30.98,-,4.55,4.27,18.50,-,2.80,3.90,0.24,0.23,-6.94,14.94%,0.58,106.30%,18.20%,-54.10%,15.00%,40.30%,-,Jun 27 AMC,0.90%,-3.86%,90.60%,2.34%,-19.90%,-29.60%,-24.00%,32.10%,-33.10%,-32.60%,-,26.21M,25.82M,2.81% / 3.46,0.73M,109.00,74.91 - 112.39,-17.71%,23.47%,38.30,0.49,209.62K,-4.64%,-0.62%,-13.02%,1.29%,-10.04%,7.97%,0.58,2.36,2.06% 2.33%,93.75,92.49
AVD,20230817,RUT,444.50M,19.40M,585.10M,13.22,0.68,0.12,0.78%,822,Yes,Yes,23.70,11.88,-,0.76,1.17,22.68,10.46,0.80,1.70,0.26,0.26,0.65,25.00%,0.30,50.10%,-1.00%,10.10%,11.40%,-16.50%,-79.80%,Aug 08 AMC,5.40%,9.97%,83.10%,-4.16%,3.60%,7.30%,7.60%,37.40%,7.00%,4.70%,11.30%,28.37M,27.73M,0.95% / 1.17,0.26M,29.50,14.09 - 24.13,-35.97%,9.69%,34.83,0.98,224.74K,5.46%,-12.91%,-8.85%,-26.46%,-22.79%,-28.83%,0.98,0.52,2.77% 2.50%,15.17,15.45
AVDX,20230817,RUT,2.02B,-85.20M,346.60M,3.20,2.17,-,-,1600,Yes,Yes,-,-,-,5.84,3.13,4.62,-,1.30,1.30,0.22,0.21,-0.43,100.00%,-0.03,80.60%,-,-,-,19.10%,28.40%,Aug 02 BMO,4.60%,-35.54%,70.90%,2.21%,-4.20%,-13.00%,-10.90%,65.20%,-24.10%,-24.60%,-,201.56M,182.79M,3.18% / 2.39,5.80M,13.59,7.02 - 12.75,-21.49%,42.59%,35.13,0.81,2.43M,-2.72%,-16.65%,10.61%,-7.23%,12.98%,0.70%,0.67,0.40,2.44% 3.72%,10.15,10.01
AVGO,20230817,"NDX, S&P 500",346.74B,13.56B,35.04B,53.03,27.56,18.40,2.22%,20000,Yes,Yes,25.88,18.33,2.44,9.89,15.60,30.01,20.30,2.10,2.40,1.79,1.74,31.96,7.61%,10.95,76.80%,10.60%,45.80%,13.50%,7.80%,37.40%,Aug 31 AMC,0.10%,-10.44%,80.70%,3.33%,18.80%,61.00%,21.40%,67.70%,45.20%,38.70%,53.00%,415.00M,403.33M,1.43% / 1.87,5.76M,880.43,415.07 - 923.18,-10.41%,99.27%,38.73,0.62,3.08M,-1.87%,-8.24%,25.80%,36.11%,49.93%,47.93%,1.14,20.79,2.24% 2.20%,832.99,827.10
AVGR,20230817,-,6.05M,-21.80M,8.20M,-0.72,0.65,-,-,67,No,Yes,-,-,-,0.74,-,0.85,-,0.40,0.60,-,-,-2.77,56.10%,-0.19,4.60%,-,-,-3.60%,-4.80%,37.00%,Jul 27 AMC,0.20%,-1.00%,14.10%,55.10%,-97.30%,-,-87.20%,33.20%,-,-,-,10.82M,10.13M,0.68% / 0.88,0.07M,1.60,0.42 - 1.88,-70.76%,30.85%,35.30,0.59,78.73K,-6.83%,-38.92%,-3.56%,-57.72%,-68.94%,-49.34%,1.60,0.07,12.28% 11.60%,0.56,0.55
AVID,20230817,RUT,1.17B,44.30M,414.60M,-2.70,0.76,-,-,1485,Yes,Yes,26.73,13.65,1.78,2.82,-,34.89,-,0.90,1.10,-,-,1.00,24.76%,0.53,37.80%,15.00%,18.70%,-0.10%,11.10%,-163.80%,Aug 09 AMC,4.70%,-0.07%,91.10%,9.59%,11.80%,-26.00%,99.50%,65.10%,8.10%,7.80%,0.00%,44.10M,40.62M,2.69% / 1.42,1.09M,31.85,19.78 - 33.41,-20.32%,34.56%,57.40,0.87,768.14K,-0.15%,3.86%,30.17%,-15.03%,-4.28%,0.11%,1.15,0.89,0.57% 4.18%,26.64,26.62
AVIR,20230817,RUT,281.86M,-106.10M,-,7.42,7.48,-,-,73,Yes,Yes,-,-,-,-,0.46,0.45,-,51.20,51.20,0.00,0.00,-1.27,-55.00%,-0.47,-201.40%,-,-,-,-,15.90%,Aug 08 AMC,0.90%,0.00%,69.80%,-0.16%,-17.30%,-18.00%,-,-,-,-,-,83.33M,75.86M,2.45% / 2.97,1.86M,4.00,2.94 - 8.68,-60.83%,15.65%,42.85,0.35,626.91K,0.29%,-7.36%,-10.05%,-16.87%,-60.65%,-29.31%,0.17,0.14,3.71% 3.73%,3.36,3.40
AVNS,20230817,RUT,1.07B,44.20M,814.30M,27.87,1.99,-,-,4044,Yes,Yes,23.49,14.40,3.73,1.31,0.79,11.14,13.91,1.60,2.90,0.16,0.16,0.94,22.84%,0.35,897.80%,6.30%,26.10%,6.00%,-2.90%,-108.80%,Aug 09 BMO,0.20%,0.00%,95.10%,-0.40%,2.90%,4.00%,3.80%,54.90%,9.00%,6.20%,0.00%,46.60M,45.11M,1.67% / 3.04,0.75M,30.00,19.32 - 31.99,-30.76%,14.65%,28.47,0.88,248.24K,-4.77%,-15.30%,-2.47%,-26.63%,-21.95%,-18.14%,0.90,0.72,2.30% 3.12%,21.97,22.15
AVO,20230817,RUT,728.52M,-37.00M,985.80M,6.94,0.30,-,-,3900,Yes,Yes,-,16.02,-,0.74,1.52,34.86,-,1.40,2.30,0.40,0.38,-0.52,49.55%,0.30,-177.50%,6.70%,-,-,-20.50%,-291.50%,Jun 08 AMC,0.90%,-21.70%,23.30%,0.24%,-4.00%,-7.30%,-6.30%,9.80%,-3.20%,-3.80%,-,70.75M,42.27M,2.67% / 6.91,1.13M,17.25,9.81 - 16.96,-37.85%,7.44%,29.14,0.42,163.20K,-6.31%,-11.73%,-9.91%,-13.11%,-34.08%,-9.29%,0.52,0.32,3.34% 2.42%,10.70,10.54
AVPT,20230817,RUT,1.24B,-39.20M,241.60M,1.24,1.22,-,-,2187,Yes,Yes,-,46.64,-,5.15,5.27,5.37,-,2.30,2.30,0.00,0.00,-0.21,159.26%,0.03,52.50%,-,-,-,18.50%,21.20%,Aug 09 AMC,2.60%,-47.59%,40.40%,-1.45%,-10.40%,-18.00%,-20.10%,71.70%,-17.00%,-17.20%,-,182.82M,123.75M,3.90% / 5.19,4.83M,7.63,3.40 - 6.93,-5.77%,92.06%,66.45,1.17,930.76K,9.02%,6.87%,19.16%,34.36%,23.91%,58.88%,0.88,0.21,3.47% 3.23%,6.53,6.53
AVRO,20230817,-,66.15M,-101.00M,-,2.77,2.83,-,-,78,Yes,Yes,-,-,-,-,0.54,0.53,-,11.00,11.00,0.00,0.00,-2.31,-12.70%,0.10,12.90%,-,-23.60%,-,-,-,Aug 10 BMO,3.31%,0.00%,56.00%,-6.12%,-,-,-,-,-,-,-,44.13M,42.65M,4.79% / 0.68,2.04M,3.80,0.56 - 1.93,-22.28%,167.86%,58.03,0.13,2.99M,-3.85%,4.17%,159.52%,-3.85%,40.19%,110.41%,1.54,0.09,8.23% 5.68%,1.53,1.50
AVTE,20230817,RUT,404.44M,-57.10M,-,4.56,4.38,-,-,43,No,Yes,-,-,-,-,3.26,3.40,-,11.30,11.30,0.00,0.00,-2.32,4.40%,-0.70,-111.60%,-,-,-,-,-49.20%,Aug 14 BMO,9.50%,-5.30%,94.57%,4.94%,-40.60%,-43.10%,-,-,-,-,-,27.60M,27.53M,4.50% / 14.09,1.24M,33.00,13.80 - 30.79,-51.67%,7.83%,37.73,1.04,88.00K,-1.33%,-8.20%,-23.54%,-43.57%,-33.15%,-49.22%,0.42,1.00,6.91% 5.89%,14.98,14.88
AVTR,20230817,-,14.18B,422.90M,7.18B,7.42,0.35,-,-,14500,Yes,Yes,33.93,17.23,8.93,1.98,2.85,59.98,19.67,1.00,1.60,1.17,1.11,0.62,14.54%,0.25,15.10%,3.80%,30.70%,43.20%,-8.70%,-104.10%,Jul 28 BMO,0.20%,-2.41%,91.70%,-3.90%,3.20%,8.70%,8.60%,34.60%,11.50%,5.90%,0.00%,675.30M,658.46M,2.59% / 2.86,17.03M,24.00,17.91 - 27.93,-24.20%,18.20%,51.97,0.73,5.96M,3.02%,-3.02%,4.39%,-14.77%,-24.88%,0.38%,1.29,0.64,1.99% 3.47%,20.79,21.17
AVTX,20230817,-,3.32M,-24.80M,17.00M,-0.50,0.28,-,-,20,No,Yes,-,-,-,0.20,-,0.53,-,0.30,0.30,-,-,-2.14,14.20%,-0.93,56.30%,-,-20.00%,-8.30%,-40.00%,57.60%,Aug 03 BMO,0.10%,-99.35%,59.00%,-1.68%,-76.00%,378.40%,-440.80%,85.80%,-,-,-,20.25M,20.00M,5.34% / 0.48,1.07M,-,0.12 - 7.00,-97.91%,20.96%,28.22,6.28,2.25M,1.10%,-52.71%,-94.75%,-95.05%,-97.20%,-97.09%,1.32,0.07,18.09% 14.07%,0.13,0.15
AWIN,20230817,-,12.26M,2.70M,-,-,-,-,-,76,No,Yes,1.20,11.07,-,-,-,-,-,0.70,0.70,-,-,0.18,111.10%,-0.14,-52.10%,-,-,-,-37.90%,-,-,34.87%,0.00%,91.80%,-0.42%,-,-,-,-,-,-,0.00%,56.14M,52.46M,2.55% / 0.75,1.34M,1.00,0.20 - 18.00,-98.77%,10.75%,36.77,0.22,1.79M,0.68%,-31.10%,-56.69%,-88.22%,-97.80%,-97.89%,-0.10,0.04,11.03% 13.35%,0.22,0.22
AWK,20230817,S&P 500,26.77B,894.00M,4.05B,49.75,4.10,2.83,2.05%,6500,Yes,Yes,28.86,26.91,3.49,6.61,2.78,33.71,-,1.10,1.10,1.26,1.20,4.79,7.04%,1.63,-35.10%,8.28%,7.90%,2.50%,17.10%,19.90%,Jul 26 AMC,0.20%,0.59%,89.00%,0.87%,3.20%,10.30%,5.50%,-,35.70%,22.10%,55.80%,195.00M,193.88M,1.41% / 2.84,2.74M,160.25,122.77 - 162.59,-15.00%,12.57%,35.98,0.62,965.01K,-0.92%,-4.01%,-3.77%,-7.40%,-13.35%,-9.33%,0.57,2.50,1.58% 1.75%,140.02,138.20
AWRE,20230817,-,32.42M,-3.40M,14.60M,1.74,1.15,-,-,82,Yes,Yes,-,-,-,2.22,0.86,1.30,-,5.10,5.10,0.00,0.00,-0.16,45.80%,-,70.50%,-,-26.60%,0.70%,-23.80%,-112.50%,Aug 01 AMC,26.30%,0.18%,33.10%,-1.17%,-6.80%,-8.50%,-5.60%,91.50%,-29.80%,-23.20%,-,20.97M,12.16M,0.43% / 1.53,0.05M,-,1.32 - 2.25,-33.78%,12.88%,38.79,0.54,33.79K,-5.70%,-5.10%,-7.45%,-10.78%,-30.05%,-12.87%,0.38,0.06,3.57% 4.25%,1.49,1.49
AWX,20230817,-,9.44M,-1.00M,85.20M,9.44,0.33,-,-,796,No,Yes,-,-,-,0.11,0.26,7.26,-,0.70,0.80,0.90,0.88,-0.26,-,-,-129.80%,-,-66.10%,7.80%,28.70%,-32.90%,Aug 11 AMC,31.96%,0.00%,9.90%,-9.17%,-1.10%,-2.60%,0.40%,16.60%,0.20%,-1.20%,-,3.90M,2.20M,0.19% / 0.55,0.00M,-,2.22 - 3.28,-26.22%,9.01%,46.72,0.01,7.65K,-6.92%,-4.59%,-9.02%,-12.00%,-7.28%,-12.00%,0.78,0.09,0.92% 2.22%,2.42,2.42
AX,20230817,RUT,2.38B,307.20M,1.16B,30.77,44.63,-,-,1335,Yes,Yes,7.97,7.02,0.80,2.05,1.32,0.91,5.48,-,-,0.18,0.18,5.09,6.15%,1.36,11.50%,10.00%,13.90%,11.20%,91.80%,29.10%,Jul 27 AMC,4.50%,-8.76%,80.40%,-0.37%,1.40%,14.90%,23.40%,-,58.10%,22.40%,0.00%,59.93M,52.68M,7.87% / 9.22,4.14M,56.83,33.15 - 51.46,-21.16%,22.40%,37.59,0.69,449.39K,-7.20%,-11.90%,2.97%,-19.38%,-14.63%,6.15%,1.50,1.56,2.45% 3.42%,40.66,40.57
AXLA,20230817,-,12.50M,-48.20M,-,-0.03,0.12,-,-,11,Yes,Yes,-,-,-,-,-,1.40,-,0.80,0.80,-,-,-0.77,0.00%,-0.05,11.90%,0.00%,-2.10%,-,-,88.60%,Aug 03 BMO,0.20%,-0.45%,46.60%,0.30%,-268.80%,-,-,-,-,-,-,73.69M,55.86M,2.36% / 5.54,1.32M,5.48,0.15 - 2.74,-93.94%,10.67%,37.02,0.38,238.35K,-2.06%,-13.27%,-61.12%,-72.46%,-93.92%,-49.31%,1.36,0.02,10.88% 10.88%,0.16,0.17
