Pid,Date,Index,Market Cap,Income,Sales,Book/sh,Cash/sh,Dividend,Dividend %,Employees,Optionable,Shortable,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,EPS (ttm),EPS next Y,EPS next Q,EPS this Y,EPS next 5Y,EPS past 5Y,Sales past 5Y,Sales Q/Q,EPS Q/Q,Earnings,Insider Own,Insider Trans,Inst Own,Inst Trans,ROA,ROE,ROI,Gross Margin,Oper. Margin,Profit Margin,Payout,Shs Outstand,Shs Float,Short Float / Ratio,Short Interest,Target Price,52W Range,52W High,52W Low,RSI (14),Rel Volume,Avg Volume,Perf Week,Perf Month,Perf Quarter,Perf Half Y,Perf Year,Perf YTD,Beta,ATR,Volatility,Prev Close,Price
VBTX,20230817,RUT,1.08B,155.40M,627.60M,27.59,34.66,0.80,4.05%,763,Yes,Yes,6.95,7.34,0.99,1.72,0.72,0.57,5.73,-,-,0.15,0.15,2.84,-1.97%,0.64,-2.20%,7.00%,22.90%,41.40%,110.90%,8.40%,Jul 25 AMC,2.30%,1.30%,92.10%,-5.08%,1.20%,10.10%,19.30%,-,58.00%,23.30%,29.10%,54.15M,52.34M,5.18% / 5.52,2.71M,25.00,14.88 - 33.71,-41.40%,32.73%,42.36,0.39,491.67K,-8.65%,-1.50%,19.19%,-30.97%,-41.59%,-29.67%,1.44,0.69,2.90% 3.32%,19.59,19.75
VCIG,20230817,-,108.32M,4.70M,7.80M,-,0.03,-,-,-,No,Yes,26.28,-,-,13.89,-,120.36,-,1.50,1.50,0.05,0.02,0.14,-,-,13.50%,-,-,-,-49.70%,-26.50%,-,79.03%,0.00%,-,-,-,-,68.00%,49.30%,34.00%,60.70%,0.00%,37.00M,7.76M,1.49% / 0.04,0.12M,-,1.53 - 24.20,-85.13%,135.29%,51.98,0.13,2.87M,33.33%,6.19%,23.71%,-,-,-15.29%,-,0.59,28.66% 14.26%,3.23,3.60
VCNX,20230817,-,14.12M,-20.20M,0.80M,0.05,0.05,-,-,38,Yes,Yes,-,-,-,17.65,4.14,4.28,-,1.90,1.90,0.08,0.04,-0.45,-,-,39.80%,-,24.60%,25.00%,-,16.10%,-,1.80%,0.00%,10.80%,-0.39%,-237.00%,-324.80%,-368.60%,-,-,-,-,65.35M,58.61M,0.32% / 0.91,0.18M,-,0.21 - 1.13,-81.68%,-1.34%,22.24,0.64,202.16K,-24.04%,-32.73%,-46.90%,-59.01%,-80.10%,-67.88%,1.00,0.02,8.57% 7.28%,0.21,0.21
VCTR,20230817,RUT,2.18B,231.00M,814.30M,15.74,0.67,1.21,3.63%,512,Yes,Yes,10.14,6.64,-,2.68,2.12,49.76,7.08,-,-,0.94,0.94,3.29,10.00%,1.17,1.50%,-,51.70%,15.80%,-5.50%,-23.90%,Aug 03 AMC,6.90%,-7.43%,83.90%,1.00%,9.10%,21.90%,15.70%,81.40%,41.80%,28.40%,33.40%,66.47M,59.23M,1.83% / 2.98,1.08M,38.11,22.78 - 34.83,-4.36%,46.22%,52.28,0.71,363.17K,0.30%,-3.81%,2.87%,1.03%,11.29%,24.15%,1.12,0.66,1.57% 1.92%,33.28,33.31
VCXA,20230817,-,99.91M,-7.70M,-,2.41,0.00,-,-,-,Yes,Yes,-,-,-,-,4.40,-,-,0.00,0.00,0.04,0.00,-0.35,-,-,-507.50%,-,-,-,-,-8.60%,-,-,-,91.10%,15.04%,-6.20%,-7.10%,-,-,-,-,-,11.96M,3.77M,0.04% / 0.13,0.00M,-,8.91 - 10.63,-0.27%,19.03%,78.34,0.58,10.46K,1.98%,3.27%,4.18%,7.35%,7.13%,7.24%,-0.04,0.07,1.43% 0.47%,10.61,10.61
VCYT,20230817,RUT,1.79B,-30.20M,311.20M,14.94,2.61,-,-,787,Yes,Yes,-,-,-,5.74,1.63,9.35,77.31,4.30,4.50,0.00,0.00,-0.42,34.00%,-0.16,54.10%,-,11.00%,32.70%,23.90%,13.10%,Aug 08 AMC,0.70%,-26.08%,106.32%,0.35%,-2.50%,-2.70%,-3.80%,66.50%,-10.80%,-9.30%,-,72.48M,71.57M,3.92% / 4.43,2.80M,33.50,14.92 - 32.40,-24.75%,63.40%,39.61,0.78,633.68K,-4.17%,-16.73%,-2.71%,-9.74%,1.04%,2.74%,1.34,1.13,3.18% 4.12%,24.51,24.38
VECO,20230817,RUT,1.60B,67.40M,640.90M,11.59,5.02,-,-,1221,Yes,Yes,41.16,17.26,-,2.50,2.42,5.60,18.77,1.60,2.50,0.45,0.45,0.68,12.60%,0.37,424.20%,-,30.50%,6.30%,-1.50%,-,Aug 07 AMC,1.50%,-1.78%,110.26%,-0.13%,6.00%,12.20%,20.70%,40.90%,8.50%,10.50%,0.00%,56.35M,54.91M,9.25% / 7.89,5.08M,31.60,16.11 - 31.09,-9.71%,74.24%,50.54,0.72,644.08K,-7.60%,5.76%,26.90%,37.26%,21.94%,51.08%,1.25,0.92,2.77% 3.05%,28.73,28.07
VEDU,20230817,-,9.47M,-3.30M,3.90M,0.35,0.01,-,-,48,No,Yes,-,-,-,2.43,0.62,31.55,-,-,0.00,4.60,4.47,-0.09,-,-,-99.70%,-,-,-,-5.00%,-404.30%,-,76.33%,0.00%,0.10%,-84.44%,-,-,3.70%,48.80%,-,-,0.00%,38.11M,9.29M,1.07% / 0.11,0.10M,-,0.16 - 1.67,-87.00%,36.38%,29.67,1.46,900.36K,-25.28%,-45.84%,-66.14%,-70.32%,-84.30%,-44.94%,2.50,0.04,25.67% 12.68%,0.19,0.22
VEEE,20230817,-,16.57M,-5.10M,35.00M,2.92,2.46,-,-,170,No,Yes,-,-,-,0.47,0.62,0.74,-,6.20,7.40,0.02,0.02,-0.58,-,-,-255.30%,-,-,-,50.80%,28.00%,Aug 14 BMO,0.40%,0.00%,16.50%,259.15%,-15.60%,-21.20%,-19.60%,32.70%,-19.90%,-14.60%,-,9.52M,7.11M,0.53% / 0.49,0.04M,8.00,1.21 - 8.07,-77.51%,50.00%,38.34,0.01,76.37K,-7.87%,-19.33%,13.44%,-16.36%,-75.34%,-0.82%,1.65,0.12,5.77% 5.29%,1.78,1.82
VEEV,20230817,-,29.84B,519.10M,2.18B,24.67,22.73,-,-,6744,Yes,Yes,52.20,34.76,3.90,13.71,7.61,8.26,37.71,4.20,4.20,0.00,0.00,3.60,19.13%,1.25,12.80%,13.40%,26.50%,25.60%,4.20%,27.30%,Aug 30 AMC,0.10%,-19.44%,93.10%,-1.08%,11.50%,14.50%,11.80%,70.80%,18.10%,23.90%,0.00%,159.85M,144.72M,2.63% / 3.86,3.81M,212.80,151.02 - 228.84,-18.00%,24.26%,36.15,0.92,987.44K,-2.60%,-8.98%,12.95%,7.16%,-18.25%,16.28%,0.93,4.27,1.56% 2.15%,191.96,187.65
VEL,20230817,RUT,442.07M,40.70M,278.40M,12.08,1.18,-,-,194,Yes,Yes,11.00,8.60,-,1.59,1.09,11.22,9.59,-,-,8.67,8.67,1.20,7.35%,0.35,9.70%,-,5.10%,20.20%,27.90%,237.60%,Aug 03 AMC,2.33%,0.39%,97.00%,0.15%,0.90%,8.50%,5.20%,92.80%,72.40%,11.40%,0.00%,32.10M,19.57M,0.92% / 9.34,0.18M,14.75,7.81 - 15.55,-15.11%,69.01%,55.95,0.29,19.30K,-5.17%,6.45%,47.16%,33.33%,8.20%,36.79%,0.86,0.78,4.82% 5.84%,13.33,13.20
VERA,20230817,RUT,805.37M,-102.00M,-,4.19,4.19,-,-,46,Yes,Yes,-,-,-,-,4.08,4.08,-,8.70,8.70,0.16,0.16,-3.44,3.80%,-0.60,-118.70%,-,-,-,-,-13.20%,Aug 10 BMO,1.20%,130.62%,94.40%,2.04%,-57.30%,-77.10%,-,-,-,-,-,44.26M,41.10M,7.50% / 4.35,3.08M,15.40,5.20 - 23.39,-26.85%,229.04%,49.02,0.33,707.96K,-12.88%,3.13%,125.43%,117.41%,-18.45%,-11.58%,0.40,1.04,6.13% 5.71%,17.20,17.11
VERI,20230817,RUT,96.77M,-26.40M,145.60M,1.06,1.68,-,-,661,Yes,Yes,-,-,-,0.66,2.45,1.54,-,0.90,0.90,3.53,3.53,-0.72,85.10%,-0.06,63.50%,-,35.20%,59.70%,-18.10%,-601.30%,Aug 08 AMC,1.90%,0.00%,47.00%,1.23%,-11.50%,-74.20%,-9.70%,81.20%,-29.90%,-31.90%,-,36.85M,31.24M,11.68% / 6.05,3.65M,4.47,2.47 - 10.99,-76.34%,5.26%,30.39,0.56,603.53K,-8.45%,-37.35%,-33.84%,-73.47%,-67.62%,-50.94%,3.25,0.34,7.72% 8.38%,2.62,2.60
VERO,20230817,-,10.14M,-44.70M,93.60M,-0.17,1.25,-,-,384,No,Yes,-,-,-,0.11,-,1.58,-,1.50,2.10,-,-,-9.79,46.70%,-1.54,-56.80%,-,-19.50%,36.10%,-22.30%,8.40%,Aug 14 AMC,4.50%,0.00%,75.30%,-20.05%,-36.40%,-454.30%,-41.50%,66.10%,-39.70%,-47.80%,-,5.22M,4.96M,0.94% / 3.33,0.05M,13.00,1.68 - 11.70,-83.08%,17.85%,49.64,0.08,13.96K,0.50%,-4.35%,-22.36%,-53.11%,-70.71%,-58.75%,1.77,0.14,8.28% 5.53%,1.92,1.98
VERV,20230817,RUT,903.34M,-179.20M,3.30M,7.51,7.46,-,-,204,Yes,Yes,-,-,-,273.74,1.94,1.95,-,14.30,14.30,0.00,0.00,-3.14,-5.70%,-0.93,-17.50%,-,-,-,-,-3.60%,-,1.00%,0.00%,101.89%,29.81%,-29.80%,-37.10%,-30.10%,-,-,-,-,61.95M,55.54M,19.24% / 17.17,10.69M,41.10,13.01 - 43.00,-66.12%,11.99%,28.53,1.11,622.42K,-19.06%,-28.40%,-14.99%,-32.92%,-60.80%,-24.70%,1.71,1.07,6.16% 5.74%,15.02,14.57
VERX,20230817,-,3.10B,-31.50M,529.80M,1.49,0.35,-,-,1400,Yes,Yes,-,42.08,-,5.85,13.58,58.32,-,0.50,0.50,0.21,0.20,-0.21,29.30%,0.10,-721.40%,12.10%,-15.15%,-,17.10%,-23.30%,Aug 09 BMO,2.80%,-52.28%,70.40%,6.26%,-4.40%,-14.10%,-3.70%,61.20%,-3.30%,-5.90%,-,151.48M,52.38M,0.95% / 1.38,0.50M,23.50,11.92 - 23.77,-14.85%,69.80%,54.49,0.72,358.08K,5.25%,2.79%,-2.55%,32.29%,42.84%,39.49%,0.51,0.82,3.04% 3.94%,20.50,20.24
VERY,20230817,-,101.59M,-16.70M,167.90M,7.77,0.35,-,-,417,No,Yes,-,-,-,0.61,0.85,19.17,-,-,-,0.34,0.28,-1.12,-,-,-22.80%,-,-31.60%,7.20%,11.40%,66.80%,-,8.52%,0.00%,77.80%,0.46%,-2.20%,-13.90%,-14.50%,-,-11.90%,-9.90%,-,14.88M,2.23M,0.17% / 0.89,0.00M,-,5.30 - 9.28,-28.44%,25.28%,47.01,0.94,4.31K,-3.63%,-7.78%,-8.35%,-15.31%,14.57%,-11.47%,0.38,0.49,7.66% 5.77%,6.93,6.64
VGAS,20230817,RUT,143.75M,-3.70M,-,7.66,0.00,-,-,5,No,Yes,-,-,-,-,0.61,1437.49,-,0.00,0.00,0.01,0.00,-0.17,-,-,-679.10%,-,-,-,-,67.20%,-,16.70%,0.49%,77.00%,1.88%,-2.10%,-2.20%,-,-,-,-,-,21.75M,2.17M,10.16% / 5.91,0.22M,-,4.31 - 21.00,-77.57%,9.28%,33.79,0.18,37.29K,-9.42%,-7.47%,5.61%,-56.06%,-53.04%,-48.30%,-0.53,0.49,8.42% 7.35%,4.92,4.71
VGZ,20230817,-,56.69M,-6.70M,-,0.07,0.05,-,-,14,Yes,Yes,-,-,-,-,6.82,9.45,-,8.30,8.30,0.00,0.00,-0.06,-,-,69.80%,-,19.30%,-,-,-3.30%,-,0.60%,-14.51%,29.90%,1.57%,-64.70%,-70.80%,-,-,-,-,-,120.64M,116.24M,0.03% / 0.24,0.04M,2.50,0.46 - 0.76,-37.22%,4.63%,32.85,0.71,146.79K,-1.91%,-11.32%,-25.45%,-9.98%,-26.59%,-3.64%,1.37,0.02,3.66% 3.74%,0.48,0.48
